Economy,Year,Economy Code,Gini index
Aruba,2022,ABW,
Afghanistan,2022,AFG,
Angola,2018,AGO,51.3
Albania,2020,ALB,29.4
Andorra,2022,AND,
United Arab Emirates,2018,ARE,26
Argentina,2021,ARG,42
Armenia,2021,ARM,27.9
American Samoa,2022,ASM,
Antigua and Barbuda,2022,ATG,
Australia,2018,AUS,34.3
Austria,2020,AUT,29.8
Azerbaijan,2022,AZE,
Burundi,2013,BDI,38.6
Belgium,2020,BEL,26
Benin,2018,BEN,37.8
Burkina Faso,2018,BFA,47.3
Bangladesh,2016,BGD,32.4
Bulgaria,2020,BGR,40.5
Bahrain,2022,BHR,
"Bahamas, The",2022,BHS,
Bosnia and Herzegovina,2011,BIH,33
Belarus,2020,BLR,24.4
Belize,2022,BLZ,
Bermuda,2022,BMU,
Bolivia,2021,BOL,40.9
Brazil,2021,BRA,52.9
Barbados,2022,BRB,
Brunei Darussalam,2022,BRN,
Bhutan,2017,BTN,37.4
Botswana,2015,BWA,53.3
Central African Republic,2022,CAF,
Canada,2018,CAN,32.5
Switzerland,2018,CHE,33.1
Channel Islands,2022,CHI,
Chile,2020,CHL,44.9
China,2019,CHN,38.2
Cote d'Ivoire,2018,CIV,37.2
Cameroon,2014,CMR,46.6
"Congo, Dem. Rep.",2012,COD,42.1
"Congo, Rep.",2011,COG,48.9
Colombia,2021,COL,51.5
Comoros,2014,COM,45.3
Cabo Verde,2015,CPV,42.4
Costa Rica,2021,CRI,48.7
Cuba,2022,CUB,
Curacao,2022,CUW,
Cayman Islands,2022,CYM,
Cyprus,2020,CYP,31.7
Czechia,2020,CZE,26.2
Germany,2019,DEU,31.7
Djibouti,2017,DJI,41.6
Dominica,2022,DMA,
Denmark,2020,DNK,27.5
Dominican Republic,2021,DOM,38.5
Algeria,2011,DZA,27.6
Ecuador,2021,ECU,45.8
"Egypt, Arab Rep.",2019,EGY,31.9
Eritrea,2022,ERI,
Spain,2020,ESP,34.9
Estonia,2020,EST,30.7
Ethiopia,2015,ETH,35
Finland,2020,FIN,27.1
Fiji,2019,FJI,30.7
France,2020,FRA,30.7
Faroe Islands,2022,FRO,
"Micronesia, Fed. Sts.",2013,FSM,40.1
Gabon,2017,GAB,38
United Kingdom,2020,GBR,32.6
Georgia,2021,GEO,34.2
Ghana,2016,GHA,43.5
Gibraltar,2022,GIB,
Guinea,2018,GIN,29.6
"Gambia, The",2020,GMB,38.8
Guinea-Bissau,2018,GNB,34.8
Equatorial Guinea,2022,GNQ,
Greece,2020,GRC,33.6
Grenada,2022,GRD,
Greenland,2022,GRL,
Guatemala,2014,GTM,48.3
Guam,2022,GUM,
Guyana,2022,GUY,
"Hong Kong SAR, China",2022,HKG,
Honduras,2019,HND,48.2
Croatia,2020,HRV,29.5
Haiti,2012,HTI,41.1
Hungary,2020,HUN,29.7
Indonesia,2022,IDN,37.9
Isle of Man,2022,IMN,
India,2019,IND,35.7
Ireland,2020,IRL,29.2
"Iran, Islamic Rep.",2019,IRN,40.9
Iraq,2012,IRQ,29.5
Iceland,2017,ISL,26.1
Israel,2018,ISR,38.6
Italy,2020,ITA,35.2
Jamaica,2022,JAM,
Jordan,2010,JOR,33.7
Japan,2013,JPN,32.9
Kazakhstan,2018,KAZ,27.8
Kenya,2015,KEN,40.8
Kyrgyz Republic,2020,KGZ,29
Cambodia,2022,KHM,
Kiribati,2019,KIR,27.8
St. Kitts and Nevis,2022,KNA,
"Korea, Rep.",2016,KOR,31.4
Kuwait,2022,KWT,
Lao PDR,2018,LAO,38.8
Lebanon,2011,LBN,31.8
Liberia,2016,LBR,35.3
Libya,2022,LBY,
St. Lucia,2016,LCA,51.2
Liechtenstein,2022,LIE,
Sri Lanka,2019,LKA,37.7
Lesotho,2017,LSO,44.9
Lithuania,2020,LTU,36
Luxembourg,2020,LUX,33.4
Latvia,2020,LVA,35.7
"Macao SAR, China",2022,MAC,
St. Martin (French part),2022,MAF,
Morocco,2013,MAR,39.5
Monaco,2022,MCO,
Moldova,2021,MDA,25.7
Madagascar,2012,MDG,42.6
Maldives,2019,MDV,29.3
Mexico,2020,MEX,45.4
Marshall Islands,2019,MHL,35.5
North Macedonia,2019,MKD,33.5
Mali,2018,MLI,36.1
Malta,2020,MLT,31.4
Myanmar,2017,MMR,30.7
Montenegro,2018,MNE,36.8
Mongolia,2018,MNG,32.7
Northern Mariana Islands,2022,MNP,
Mozambique,2014,MOZ,54
Mauritania,2014,MRT,32.6
Mauritius,2017,MUS,36.8
Malawi,2019,MWI,38.5
Malaysia,2018,MYS,41.2
Namibia,2015,NAM,59.1
New Caledonia,2022,NCL,
Niger,2018,NER,37.3
Nigeria,2018,NGA,35.1
Nicaragua,2014,NIC,46.2
Netherlands,2020,NLD,26
